70,65,51,24,40,39,32,43,33,76,50,42,54,48,61,65,50,51,31,38,57,27,55,55,57,57,44,80,58,51,45,50,37,60
96,99,94,96,97,98,93,100,99,100,100,100,90,89,100,88,84,80,100,98,92,100,100,96,100,89,95,100,100,100,100,100,93,100
90,92,98,99,77,100,66,90,97,97,87,85,100,96,84,96,58,85,100,81,91,90,87,77,77,88,84,94,86,84,74,92,100,89
76,52,45,21,31,57,15,53,40,69,60,45,60,64,42,39,37,40,43,22,51,59,50,46,17,60,47,49,49,44,34,52,55,50
6,0,2,4,0,0,9,0,4,11,2,3,0,0,0,0,7,10,0,1,2,4,4,0,2,21,3,0,0,0,0,8,0,0
66,56,75,22,49,55,28,41,53,82,75,62,51,51,63,91,65,70,85,61,42,73,90,64,44,81,66,90,57,40,52,77,62,59
92,77,79,83,65,94,66,93,62,92,81,70,91,51,50,96,57,68,87,53,72,81,84,67,64,84,80,83,67,64,61,51,66,91
23,29,9,9,16,19,19,17,6,15,15,14,25,13,19,2,9,16,2,11,9,11,3,16,6,33,6,9,13,20,24,8,19,24
88,96,100,91,83,94,72,94,99,94,93,91,97,100,84,84,77,100,100,89,87,94,97,86,89,87,99,98,92,83,90,94,82,78
10,16,6,0,7,1,13,3,8,0,0,0,7,1,0,10,9,0,0,2,0,0,0,0,0,10,0,2,0,6,12,2,10,0
77,48,40,15,22,55,59,50,59,58,40,38,42,45,54,62,32,50,18,29,38,63,37,46,37,63,43,85,43,26,44,39,44,51
25,49,23,14,0,3,13,10,23,28,9,21,36,15,25,19,39,22,4,17,14,7,8,9,16,38,11,20,8,9,14,49,26,42
51,76,58,24,53,49,64,40,56,54,42,12,30,51,43,71,50,50,46,35,43,37,42,73,64,75,44,86,46,21,71,50,53,78
99,95,99,93,77,100,99,81,100,94,100,100,97,100,97,88,98,93,99,99,100,94,100,94,100,99,97,100,100,100,100,100,91,100
81,100,98,75,96,88,84,99,90,100,90,91,89,77,100,94,86,87,100,82,92,100,82,91,80,88,97,92,90,92,86,85,100,92
62,0,36,10,13,25,26,0,43,29,54,20,35,19,40,47,20,12,4,23,34,0,7,41,55,59,12,38,2,12,39,44,11,39
8,0,3,4,5,0,25,18,43,10,0,0,26,0,11,40,12,26,0,6,0,3,0,17,11,50,16,46,0,5,0,40,0,21
60,20,32,8,45,37,35,55,43,17,29,50,39,12,50,68,23,31,45,12,39,29,22,74,27,57,25,58,16,15,41,49,37,46
59,72,54,15,56,12,59,61,84,92,61,74,89,76,82,73,47,42,79,72,65,68,67,78,73,74,50,82,50,58,66,64,62,89
48,76,19,15,49,43,44,64,60,52,9,30,49,47,73,71,60,62,73,49,59,50,55,82,43,62,14,73,35,35,50,68,27,40
80,92,81,71,83,98,68,99,81,92,84,90,98,60,94,96,85,80,97,87,96,75,92,100,86,93,97,90,55,90,79,77,81,93
17,62,10,22,41,25,39,31,55,20,12,22,29,20,26,43,43,27,12,13,38,10,14,68,0,66,15,65,9,21,18,50,18,51
60,64,34,8,34,14,35,21,44,42,15,28,42,9,55,55,25,39,3,26,50,44,33,32,39,55,9,63,28,14,31,44,46,43
50,50,43,19,61,58,41,82,50,43,58,57,74,88,87,90,63,66,52,73,63,54,58,89,50,77,44,96,67,66,75,57,72,84
65,58,28,19,49,59,61,37,31,45,59,37,49,46,54,59,65,23,51,50,39,59,63,57,50,52,17,55,40,58,31,39,52,57
95,97,98,95,76,100,97,88,100,97,100,84,86,93,100,98,100,95,98,90,100,100,80,76,100,88,96,100,100,100,99,90,93,100
92,93,84,99,88,81,68,100,85,97,95,89,95,93,95,99,86,89,98,76,94,92,91,86,86,83,96,95,76,91,73,72,100,94
47,37,26,14,27,34,44,36,20,28,38,22,43,18,41,58,18,54,27,31,18,30,42,44,21,55,3,37,31,38,46,40,58,51
34,10,6,5,15,0,14,8,11,12,4,16,18,1,8,16,13,0,3,5,7,10,5,6,19,57,2,20,29,3,0,2,19,7
44,43,21,11,41,43,22,22,27,50,50,28,46,50,61,30,41,29,44,50,35,41,24,44,5,46,17,44,45,38,28,6,35,29
