99,93,99,91,99,100,100,100,92,100,99,88,100,97,100,100,100,100,100,98,100,94,69,87,100,99,100,100,100,100,100
90,70,87,94,100,68,61,83,48,97,98,79,92,85,66,59,46,67,80,74,81,74,95,84,83,74,51,59,62,91,74
100,66,91,98,99,65,93,73,90,68,98,100,96,85,86,83,73,91,86,74,80,76,74,96,93,93,74,92,84,90,51
93,74,43,46,30,37,36,50,49,75,54,65,38,64,34,53,42,49,51,55,46,54,47,50,54,62,35,53,74,61,14
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,16,32
38,41,66,37,36,40,36,36,31,62,35,53,15,48,38,38,42,53,50,49,64,59,55,23,13,21,28,51,24,67,28
86,40,53,43,7,25,29,60,50,34,48,14,33,52,21,45,25,26,34,44,69,15,36,34,17,44,50,46,39,67,57
62,31,47,49,12,34,54,70,49,38,16,35,73,58,37,77,46,44,45,52,66,20,44,76,72,30,60,30,61,60,0
86,100,97,100,98,89,100,90,94,100,95,93,91,82,93,74,50,95,83,54,86,100,100,60,97,98,60,91,90,91,63
2,3,0,0,0,7,19,6,5,0,1,2,4,4,3,4,2,0,5,1,1,5,1,7,0,3,10,4,0,11,74
88,74,83,90,99,70,88,63,100,47,85,83,95,80,65,70,89,76,80,75,64,71,81,98,78,52,61,41,93,92,11
57,50,76,52,47,77,52,76,26,37,69,25,71,49,42,64,38,83,68,51,52,42,67,47,84,48,32,59,34,64,32
25,24,42,46,9,29,0,18,27,16,11,16,8,38,34,33,38,15,24,38,38,33,21,15,8,19,34,32,17,49,17
100,100,91,90,99,100,65,100,88,82,95,94,100,79,100,100,100,100,100,97,100,94,100,94,100,98,100,100,100,98,100
99,82,99,100,100,88,100,100,100,100,100,100,85,94,90,89,84,54,94,70,71,100,97,100,92,85,80,79,87,88,74
80,43,76,91,79,68,61,56,49,67,63,52,83,61,48,78,55,61,87,71,94,44,100,81,87,69,63,84,49,76,88
49,52,13,32,11,18,7,36,15,40,29,63,39,25,17,11,38,39,69,51,35,41,26,19,16,32,44,38,16,55,33
0,0,0,0,0,0,8,12,11,8,1,0,0,34,0,0,0,8,0,9,1,0,0,0,5,1,8,18,0,52,82
38,32,8,0,7,12,0,46,25,27,40,10,24,43,9,21,8,47,13,14,8,23,28,7,9,15,16,20,2,61,0
46,45,41,19,33,45,26,52,38,39,32,24,27,37,31,25,34,34,61,43,20,33,23,35,33,48,51,27,4,88,25
85,61,86,79,65,50,42,57,50,67,68,71,38,53,66,56,55,55,70,64,58,70,71,59,76,84,53,50,16,85,59
96,69,86,82,94,56,75,89,73,100,95,96,89,73,61,82,66,94,92,72,79,83,97,84,94,76,64,82,66,91,47
11,16,13,27,36,8,16,0,16,30,0,33,11,10,37,9,23,14,19,47,15,35,27,32,49,40,33,14,22,53,23
69,69,70,67,55,20,73,72,49,38,7,75,21,88,29,68,31,20,15,46,70,73,67,50,66,53,59,74,51,64,39
91,90,50,82,60,39,29,75,75,29,46,95,76,55,37,75,47,47,93,65,50,68,69,64,80,78,25,47,16,65,31
76,53,64,84,69,79,45,65,74,66,48,71,74,52,54,52,60,61,82,51,55,57,71,60,89,64,61,82,39,67,58
100,80,100,94,100,100,82,100,79,67,88,99,100,79,91,100,100,100,100,97,100,86,100,100,100,100,100,100,100,97,100
94,100,91,100,100,66,96,100,100,99,98,94,90,90,100,92,68,98,93,80,93,100,96,91,79,98,91,91,86,83,82
97,78,92,98,86,59,100,97,66,100,87,80,77,85,88,87,86,85,92,77,81,94,90,89,75,81,84,73,88,76,75
0,16,2,14,12,6,34,0,23,5,7,9,12,22,4,22,29,19,20,27,15,34,27,10,19,30,29,12,5,40,33
9,3,0,0,0,2,0,4,0,0,3,5,1,0,0,2,4,6,0,7,0,3,0,0,3,17,7,0,0,33,87
2,8,4,0,1,9,10,18,3,4,0,5,5,11,2,3,0,3,15,24,0,0,4,8,0,5,14,8,2,19,64
25,12,21,19,23,30,61,33,16,36,8,14,9,28,32,50,11,43,37,47,25,25,24,41,29,29,25,17,22,47,11
69,27,29,53,38,44,10,67,47,45,35,49,35,56,41,31,37,32,49,46,75,54,33,70,62,32,51,27,40,50,22
84,89,67,72,66,62,56,93,86,78,86,52,70,77,80,76,61,38,73,71,72,70,61,70,38,54,68,74,58,64,40
16,0,14,8,3,0,0,23,11,0,16,0,0,4,25,0,3,3,7,16,3,6,17,21,24,8,11,3,0,17,56
88,56,90,73,74,61,81,78,89,71,62,66,72,76,74,94,71,43,77,75,89,86,96,79,42,56,79,76,81,70,50
