0,0,6,17,0,6,2,0,8,5,0,4,2,68,4,9,1,0,1,0,0,4,0,0,1,0,1,19,31,8,15,0,4,0,3
49,69,46,75,51,48,77,95,85,59,58,81,64,67,81,89,70,54,39,77,77,85,80,72,22,66,39,36,72,51,53,58,48,100,100
0,1,3,9,0,3,0,0,5,25,0,1,6,14,3,12,0,0,1,1,0,7,0,0,2,0,3,1,29,0,11,0,1,0,1
82,93,48,81,90,82,90,96,55,80,51,81,80,93,70,53,98,99,65,58,93,95,72,79,98,59,65,95,87,74,80,97,66,83,100
20,13,29,75,15,46,65,34,50,4,31,28,25,39,52,23,44,49,20,44,73,51,17,22,17,51,14,52,67,44,16,40,38,59,60
54,91,57,69,82,68,99,86,93,57,47,85,69,59,77,52,99,64,54,82,82,73,83,78,90,79,35,80,83,71,67,49,52,98,76
95,100,54,72,75,98,93,82,93,62,80,95,99,62,79,62,82,74,87,77,74,89,92,78,74,74,74,78,74,94,72,73,74,49,100
42,70,45,49,94,69,90,48,70,4,52,93,70,38,66,75,66,56,53,59,84,94,59,22,43,70,56,45,82,80,65,73,50,34,97
65,74,44,65,74,68,80,45,71,59,54,55,74,34,66,38,96,70,50,65,78,76,51,28,45,46,61,66,78,61,53,67,54,93,95
71,75,46,59,88,87,95,61,82,71,52,69,97,93,79,62,42,69,49,54,100,79,78,36,35,76,78,87,62,94,79,90,62,95,75
84,35,53,78,89,73,90,89,99,97,57,91,85,89,65,42,59,91,91,68,97,84,82,100,89,92,76,93,78,78,93,91,58,98,67
13,15,47,60,23,48,71,70,56,54,42,28,79,65,59,35,41,41,45,68,57,31,60,29,19,60,22,57,66,64,43,47,43,50,50
22,50,59,67,35,41,75,78,61,29,50,33,67,65,68,65,62,27,32,19,55,41,44,31,38,49,39,71,75,42,71,48,45,83,60
0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0
4,10,34,37,7,21,24,18,11,33,20,6,0,32,19,7,22,0,3,1,25,0,0,0,2,0,34,19,50,30,32,11,1,0,16
87,82,59,66,91,81,84,94,70,48,67,42,72,76,97,60,67,73,41,68,59,97,77,58,42,52,66,79,71,97,96,88,85,97,77
56,56,49,38,36,56,43,37,69,49,24,9,36,67,50,29,60,52,11,50,51,81,39,23,43,32,44,33,62,63,34,69,40,44,41
27,68,51,91,77,52,76,62,92,51,43,37,91,92,79,79,77,92,23,72,81,29,52,33,49,94,68,76,69,95,54,51,68,77,62
24,29,44,65,24,51,53,72,46,49,31,28,44,68,54,30,43,64,17,42,46,40,30,19,13,23,53,16,43,42,25,49,12,34,19
