76,69,52,71,65,56,84,63,72,80,45,83,69,31,57,76,69,80,59,68,74,47,84,22,45,90
97,100,100,92,99,100,99,94,98,99,100,100,98,97,99,99,100,100,100,100,99,99,100,100,97,100
84,86,72,70,81,88,90,65,75,98,90,73,90,73,89,87,94,92,79,95,99,49,93,90,90,98
8,60,54,38,23,46,50,28,67,33,0,0,13,12,37,35,41,61,26,45,37,6,82,42,6,37
52,68,82,42,62,84,91,48,63,100,64,50,53,56,74,76,64,86,37,75,94,51,83,76,35,65
42,70,49,61,65,42,75,42,64,76,50,21,49,39,47,70,72,68,58,39,63,45,90,59,62,80
32,69,49,61,47,50,79,64,68,90,80,33,41,65,38,62,78,86,28,66,58,39,90,95,30,84
10,59,0,28,27,38,45,2,63,39,13,0,11,20,23,9,43,65,36,23,14,29,77,23,43,34
5,40,33,38,17,24,33,12,59,46,15,0,28,28,31,2,45,67,25,46,21,28,34,5,20,56
21,65,69,49,59,91,91,38,75,93,53,30,42,51,83,33,71,79,51,75,71,49,79,78,73,85
27,61,9,39,8,40,45,6,66,48,31,0,9,28,37,17,58,52,30,58,54,41,74,25,52,67
0,6,0,19,0,4,5,3,20,0,0,0,1,4,0,0,38,9,0,0,3,2,38,7,12,19
81,84,65,79,84,91,91,90,77,93,77,47,77,93,97,83,92,97,84,99,98,53,96,85,82,97
57,78,33,0,65,62,69,45,68,71,66,68,52,56,78,62,81,68,66,74,85,87,87,76,36,92
66,94,100,0,98,95,95,99,79,97,100,100,97,97,100,99,100,100,95,100,93,98,100,100,90,100
32,67,82,0,74,83,89,74,71,79,62,62,48,75,83,59,86,88,80,89,88,46,80,70,49,96
13,76,41,0,54,69,47,8,65,45,36,18,4,26,69,35,66,37,31,87,64,48,42,26,27,87
43,67,70,0,60,94,65,72,65,58,54,67,34,42,84,42,91,72,47,92,84,66,75,75,36,88
58,78,36,0,60,90,62,69,76,59,67,36,47,40,78,81,73,74,50,89,86,52,79,71,62,81
27,61,24,0,41,77,78,46,73,74,57,50,37,39,67,27,65,82,60,79,87,73,79,20,46,85
20,64,21,0,39,74,34,21,72,45,40,17,52,36,58,22,71,72,43,83,78,52,74,42,39,73
4,47,23,0,29,56,38,18,60,42,40,27,7,32,43,19,47,25,29,67,50,48,78,10,44,57
36,69,43,0,59,85,72,39,71,78,56,32,35,53,73,41,84,66,70,84,84,52,73,54,56,81
16,49,21,0,57,88,59,51,62,70,50,36,3,23,64,44,52,62,29,85,45,32,43,29,42,81
19,75,21,0,66,84,76,40,67,58,46,40,5,52,85,38,61,60,51,80,63,51,74,50,37,97
