2,9,1,5,1,2,0,0,0,4,13,0,1,13,6,1,1,0,0,0,5,6,8,7,0,0,0,6,0,0
95,89,84,88,96,89,98,86,90,100,84,100,94,92,89,93,97,68,79,100,86,95,100,94,95,100,98,91,81,100
62,71,65,74,71,59,54,35,63,35,36,49,55,75,71,62,50,63,50,63,70,58,76,64,45,37,26,80,46,76
0,2,2,3,0,0,3,4,2,1,12,5,3,6,16,0,5,0,0,2,8,0,12,0,4,0,0,0,0,11
15,19,4,42,28,30,53,20,41,20,51,54,59,33,33,25,57,17,0,50,27,17,61,29,14,31,5,38,12,77
9,26,35,62,19,25,13,10,20,22,64,35,34,19,40,16,16,27,2,20,20,29,45,22,23,5,9,20,19,24
4,8,11,20,4,15,10,13,11,12,41,8,14,16,21,11,7,15,1,7,13,15,18,16,7,2,2,9,4,3
42,78,74,95,83,75,51,56,38,42,56,61,92,78,94,52,67,34,51,64,46,56,82,86,38,52,46,54,82,47
58,54,85,74,75,65,57,80,58,44,55,77,39,56,47,57,60,24,31,76,78,81,85,60,60,76,60,54,32,65
33,62,82,92,40,82,65,75,62,84,82,62,71,57,76,54,41,38,54,66,60,53,88,79,67,79,51,100,77,55
87,98,90,99,100,78,68,100,100,97,100,91,95,100,100,100,97,100,98,100,100,100,94,100,100,100,98,76,98,63
22,27,67,55,10,29,15,25,19,27,57,29,33,19,30,29,28,41,9,12,34,34,57,28,30,36,23,44,26,18
64,70,84,96,92,80,79,60,67,41,74,73,65,73,69,82,95,79,50,86,96,82,94,84,72,86,72,83,85,95
100,80,72,62,83,86,71,50,43,70,68,83,51,91,59,65,91,71,53,77,51,75,91,76,53,88,65,91,41,91
32,49,69,42,32,77,25,23,23,36,39,10,45,44,30,24,56,31,39,11,26,32,88,26,41,5,22,49,13,61
93,86,63,96,96,95,100,94,96,96,98,100,80,91,89,98,91,77,71,100,97,94,91,88,97,100,61,91,78,100
11,37,64,51,0,28,25,18,17,78,39,51,20,38,20,46,23,36,45,45,5,73,91,53,57,16,11,18,4,54
7,29,64,38,64,19,34,33,10,6,34,36,36,59,41,20,73,35,38,50,40,37,79,41,30,8,28,52,11,24
16,14,50,23,24,42,63,21,40,82,28,19,43,53,59,56,58,25,26,24,37,42,85,27,24,0,49,51,22,39
